region,population,area,density,gdp,gdpCap
Ain,619497,5762,108,19135,30141
Aisne,540067,7369,73,14406,26775
Allier,343431,7340,47,10288,30153
Alpes-de-Haute-Provence,161916,6925,23,4892,30231
Alpes-Maritimes,1080771,4299,251,44322,40957
Ardèche,320379,5529,58,8453,26005
Ardennes,280907,5229,54,7617,27522
Ariège,152684,4890,31,4040,26489
Aube,306581,6004,51,9245,29865
Aude,364877,6139,59,9329,25375
Aveyron,277740,8735,32,8153,29169
Bas-Rhin,1109460,4755,233,44923,40176
Bouches-du-Rhône,1993177,5087,392,84994,42048
Calvados,689945,5548,124,24496,35291
Cantal,147035,5726,26,4191,28719
Charente,353482,5956,59,11559,32709
Charente-Maritime,633417,6864,92,19408,30258
Cher,311650,7235,43,9320,30231
Corrèze,240781,5857,41,8353,34535
Corse-du-Sud,149234,4014,37,5511,35806
Côte-d'Or,529761,8763,60,21136,39593
Côtes-d'Armor,597085,6878,87,17904,29915
Creuse,120872,5565,22,3382,28154
Deux-Sèvres,371632,5999,62,12310,32851
Dordogne,416909,9060,46,11430,27540
Doubs,533320,5234,102,18559,34512
Drôme,494712,6530,76,18845,37193
Essonne,1253931,1804,695,58860,45887
Eure,595043,6040,99,17120,28373
Eure-et-Loir,432967,5880,74,12847,29592
Finistère,903921,6733,134,30668,33759
Gard,733201,5853,125,20228,27339
Gers,190276,6257,30,4743,24825
Gironde,1505517,10725,140,61873,39689
Guadeloupe,402119,1628,247,1,1
Guyane,244118,83534,3,1,1
Haut-Rhin,758723,3525,215,25230,33041
Haute-Corse,170974,4666,37,5279,30145
Haute-Garonne,1298562,6309,206,65013,48366
Haute-Loire,226203,4977,45,6421,28271
Haute-Marne,181521,6211,29,5622,31488
Haute-Saône,238956,5360,45,6090,25669
Haute-Savoie,769677,4388,175,28490,35609
Haute-Vienne,375856,5520,68,12377,32959
Hautes-Alpes,139279,5549,25,4234,30018
Hautes-Pyrénées,228868,4464,51,6933,30350
Hauts-de-Seine,1591403,176,9042,192076,119778
Hérault,1092331,6101,179,38069,33778
Ille-et-Vilaine,1019923,6775,151,41566,39655
Indre,228091,6791,34,6324,28324
Indre-et-Loire,600252,6127,98,21689,35788
Isère,1235387,7431,166,47386,37765
Jura,260502,4999,52,8175,31391
Landes,397226,9243,43,14950,36935
Loir-et-Cher,332001,6343,52,10410,31256
Loire,756715,4781,158,24827,32663
Loire-Atlantique,1328620,6815,195,56464,41116
Loiret,665587,6775,98,25434,37692
Lot,173758,5217,33,5132,29657
Lot-et-Garonne,333180,5361,62,9695,29077
Lozère,76607,5167,15,2477,32513
Maine-et-Loire,800191,7166,112,25565,31481
Manche,499919,5938,84,14697,29451
Marne,569999,8162,70,21398,37372
Martinique,385551,1128,342,1,1
Mayenne,307500,5175,59,9890,32137
Mayotte,212645,376,566,1,1
Meurthe-et-Moselle,731004,5246,139,24245,33019
Meuse,192094,6211,31,5652,29730
Morbihan,737778,6823,108,23150,31016
Moselle,1046873,6216,168,32089,30746
Nièvre,215221,6817,32,6367,30197
Nord,2595536,5743,452,92252,35384
Oise,815400,5860,139,25864,31420
Orne,288848,6103,47,8201,28676
Paris,2229621,105,21234,260607,118440
Pas-de-Calais,1465205,6671,220,39627,26895
Puy-de-Dôme,640999,7970,80,25741,39671
Pyrénées-Atlantiques,664057,7645,87,24597,36639
Pyrénées-Orientales,462705,4116,112,12826,27116
Réunion,835103,2504,334,1,1
Rhône,1779845,3249,548,97668,53324
Saône-et-Loire,556222,8575,65,16985,30596
Sarthe,569035,6206,92,19345,34043
Savoie,423715,6028,70,17421,40594
Seine-et-Marne,1365200,5915,231,50344,36071
Seine-Maritime,1254609,6278,200,47682,37910
Seine-Saint-Denis,1552482,236,6578,76464,47742
Somme,571675,6170,93,18066,31601
Tarn,381927,5758,66,10599,27344
Tarn-et-Garonne,250342,3718,67,6462,25188
Territoire de Belfort,144318,609,237,4737,32790
Val-d'Oise,1194681,1246,959,43273,35468
Val-de-Marne,1354005,245,5527,70223,50988
Var,1028583,5973,172,30190,28679
Vaucluse,549949,3567,154,19542,34955
Vendée,655506,6720,98,21863,32672
Vienne,431248,6990,62,14563,33439
Vosges,375226,5874,64,11859,31971
Yonne,341483,7427,46,9907,29089
Yvelines,1418484,2284,621,68518,47937
